Rk.,Player,Year,HR,SO,BB,SLG
272," Wilson, Preston",2005,25,148,45,0.467
273," Jenkins, Geoff",2005,25,138,56,0.513
274," Ramirez, Aramis",2010,25,90,34,0.452
275," LaRoche, Adam",2010,25,172,48,0.468
276," Pence, Hunter",2010,25,105,41,0.461
277," Bruce, Jay",2010,25,136,58,0.493
278," Braun, Ryan",2010,25,105,56,0.501
279," Zimmerman, Ryan",2010,25,98,69,0.51
280," Braun, Ryan",2015,25,115,54,0.498
281," Brett, George",1980,24,22,58,0.664
282," Singleton, Ken",1980,24,94,92,0.485
283," Rice, Jim",1980,24,87,30,0.504
284," Parrish, Lance",1980,24,109,31,0.499
285," Henderson, Rickey",1985,24,65,99,0.516
286," Davis, Mike",1985,24,99,50,0.484
287," Walker, Greg",1985,24,100,44,0.454
288," McReynolds, Kevin",1990,24,61,71,0.455
289," Davis, Eric",1990,24,100,60,0.486
290," Carter, Joe",1990,24,93,48,0.391
291," Incaviglia, Pete",1990,24,146,45,0.42
292," Murphy, Dale",1990,24,130,61,0.417
293," Parrish, Lance",1990,24,107,46,0.451
294," Canseco, Jose",1995,24,93,42,0.556
295," Snow, J.T.",1995,24,91,52,0.465
296," Baines, Harold",1995,24,45,70,0.54
297," Cordova, Marty",1995,24,111,52,0.486
298," Justice, David",1995,24,68,73,0.479
299," Hill, Glenallen",1995,24,98,39,0.483
300," Ventura, Robin",2000,24,91,75,0.439
301," Vidro, Jose",2000,24,69,49,0.54
302," Lee, Carlos",2000,24,94,38,0.484
303," Lopez, Javy",2000,24,80,35,0.484
304," Green, Shawn",2000,24,121,90,0.472
305," Young, Michael",2005,24,91,58,0.513
306," Peralta, Jhonny",2005,24,128,58,0.52
307," Berkman, Lance",2005,24,72,91,0.524
308," Abreu, Bobby",2005,24,134,117,0.474
309," Guillen, Jose",2005,24,102,31,0.479
310," Gonzalez, Luis",2005,24,90,78,0.459
311," Burnitz, Jeromy",2005,24,109,57,0.435
312," Soriano, Alfonso",2010,24,123,45,0.496
313," Lee, Carlos",2010,24,59,37,0.417
314," Uribe, Juan",2010,24,92,45,0.44
315," Granderson, Curtis",2010,24,116,53,0.468
316," Martin, Jerry",1980,23,107,38,0.419
317," Charboneau, Joe",1980,23,70,49,0.488
318," Yount, Robin",1980,23,67,26,0.519
319," Baylor, Don",1985,23,90,52,0.43
320," Dawson, Andre",1985,23,92,29,0.444
321," Lynn, Fred",1985,23,100,53,0.449
322," Johnson, Howard",1990,23,100,69,0.434
323," Blowers, Mike",1995,23,128,53,0.474
324," Jones, Chipper",1995,23,99,73,0.45
325," Puckett, Kirby",1995,23,89,56,0.515
326," Colbrunn, Greg",1995,23,69,22,0.453
327," Belle, Albert",2000,23,68,52,0.474
328," Bichette, Dante",2000,23,91,49,0.477
329," Matsui, Hideki",2005,23,78,63,0.496
330," Jones, Jacque",2005,23,120,51,0.438
331," Everett, Carl",2005,23,99,42,0.435
332," Blake, Casey",2005,23,116,43,0.438
333," Lopez, Felipe",2005,23,111,57,0.486
334," Hunter, Torii",2010,23,106,61,0.464
335," Gonzalez, Alex",2010,23,118,31,0.447
336," McGehee, Casey",2010,23,102,50,0.464
337," Ethier, Andre",2010,23,102,59,0.493
338," Lind, Adam",2010,23,144,38,0.425
339," Rasmus, Colby",2010,23,148,63,0.498
340," Byrd, Marlon",2015,23,145,29,0.453
341," Fielder, Prince",2015,23,88,64,0.463
342," Howard, Ryan",2015,23,138,27,0.443
343," Martin, Russell",2015,23,106,53,0.458
344," McCutchen, Andrew",2015,23,133,98,0.488
345," Kemp, Matt",2015,23,147,39,0.443
346," Moreland, Mitch",2015,23,112,32,0.482
347," Clark, Jack",1980,22,52,74,0.517
348," White, Frank",1985,22,86,28,0.414
349," Cey, Ron",1985,22,106,58,0.408
350," Thornton, Andre",1985,22,75,47,0.408
351," Baines, Harold",1985,22,89,42,0.467
352," Wallach, Tim",1985,22,79,38,0.45
353," Clark, Jack",1985,22,88,83,0.502
354," O'Brien, Pete",1985,22,53,69,0.452
355," Maldonado, Candy",1990,22,134,49,0.446
356," Hrbek, Kent",1990,22,45,69,0.474
357," Griffey Jr., Ken",1990,22,81,63,0.481
358," Brogna, Rico",1995,22,111,39,0.485
359," Biggio, Craig",1995,22,85,80,0.483
360," Jordan, Brian",1995,22,79,22,0.488
361," O'Neill, Paul",1995,22,76,71,0.526
362," Berroa, Geronimo",1995,22,98,63,0.451
363," Zeile, Todd",2000,22,85,74,0.467
364," Lowell, Mike",2000,22,75,54,0.474
365," Fryman, Travis",2000,22,111,73,0.516
366," Morneau, Justin",2005,22,94,44,0.437
367," Huff, Aubrey",2005,22,88,49,0.428
368," Sizemore, Grady",2005,22,132,52,0.484
369," Green, Shawn",2005,22,95,62,0.477
370," Varitek, Jason",2005,22,117,62,0.489
371," Drew, J.D.",2010,22,105,60,0.452
372," Wigginton, Ty",2010,22,116,50,0.415
373," Choo, Shin-Soo",2010,22,118,83,0.484
374," Longoria, Evan",2010,22,124,72,0.507
375," Stubbs, Drew",2010,22,168,55,0.444
376," Hunter, Torii",2015,22,105,35,0.409
377," Choo, Shin-Soo",2015,22,147,76,0.463
378," Morales, Kendrys",2015,22,103,58,0.485
379," Trumbo, Mark",2015,22,132,36,0.449
380," Plouffe, Trevor",2015,22,124,50,0.435
381," Moustakas, Mike",2015,22,76,43,0.47
382," Voit, Luke",2020,22,54,17,0.61
383," Simmons, Ted",1980,21,45,59,0.505
384," Thompson, Jason",1980,21,86,83,0.475
385," Kemp, Steve",1980,21,64,69,0.474
386," Hrbek, Kent",1985,21,87,67,0.444
387," Whitaker, Lou",1985,21,56,80,0.456
388," Durham, Leon",1985,21,99,64,0.465
389," Foster, George",1985,21,87,46,0.46
390," Martinez, Carmelo",1985,21,82,87,0.434
391," Parker, Dave",1990,21,102,41,0.451
392," Bell, George",1990,21,80,32,0.422
393," Burks, Ellis",1990,21,82,48,0.486
394," Ripken Jr., Cal",1990,21,66,82,0.415
395," Wallach, Tim",1990,21,80,42,0.471
396," Winfield, Dave",1990,21,81,52,0.453
397," Curtis, Chad",1995,21,93,70,0.435
398," Bagwell, Jeff",1995,21,102,79,0.496
399," Murray, Eddie",1995,21,65,39,0.516
400," Konerko, Paul",2000,21,72,47,0.481
401," Stairs, Matt",2000,21,122,78,0.414
402," Clark, Will",2000,21,69,69,0.546
403," Williams, Gerald",2000,21,103,34,0.427
404," Daubach, Brian",2000,21,130,44,0.448
405," Stewart, Shannon",2000,21,79,37,0.518
406," Garciaparra, Nomar",2000,21,50,61,0.599
407," Sweeney, Mike",2005,21,61,33,0.517
408," Young, Dmitri",2005,21,100,29,0.471
409," Swisher, Nick",2005,21,110,55,0.446
410," Young, Michael",2010,21,115,50,0.444
411," Rios, Alex",2010,21,93,38,0.457
412," Matsui, Hideki",2010,21,98,67,0.459
413," Young, Delmon",2010,21,81,28,0.493
414," Kubel, Jason",2010,21,116,56,0.427
415," Jones, Garrett",2010,21,123,53,0.414
416," Ramirez, Hanley",2010,21,93,64,0.475
417," McCann, Brian",2010,21,98,74,0.453
418," Cano, Robinson",2015,21,107,43,0.446
419," Longoria, Evan",2015,21,132,51,0.435
420," Perez, Salvador",2015,21,82,13,0.426
421," Crawford, Brandon",2015,21,119,39,0.462
422," Aikens, Willie",1980,20,88,64,0.433
423," Winfield, Dave",1980,20,83,79,0.45
424," Evans, Darrell",1980,20,65,83,0.414
425," Jacoby, Brook",1985,20,120,48,0.426
426," Murphy, Dwayne",1985,20,123,84,0.4
427," Gaetti, Gary",1985,20,89,37,0.409
428," Downing, Brian",1985,20,61,78,0.427
429," Galarraga, Andres",1990,20,169,40,0.409
430," Brooks, Hubie",1990,20,108,33,0.424
431," Kent, Jeff",1995,20,89,29,0.464
432," Davis, Chili",1995,20,79,89,0.514
433," Quinn, Mark",2000,20,91,35,0.488
434," Hammonds, Jeffrey",2000,20,83,44,0.529
435," Bordick, Mike",2000,20,99,49,0.443
436," Casey, Sean",2000,20,80,52,0.517
437," Aurilia, Rich",2000,20,90,54,0.444
438," Beltre, Adrian",2000,20,80,56,0.475
439," Young, Kevin",2000,20,96,32,0.433
440," Martinez, Victor",2005,20,78,63,0.475
441," Feliz, Pedro",2005,20,102,38,0.422
442," Monroe, Craig",2005,20,95,40,0.446
443," Ibanez, Raul",2005,20,99,71,0.436
444," Winn, Randy",2005,20,91,48,0.499
445," Helton, Todd",2005,20,80,106,0.534
446," LaRoche, Adam",2005,20,87,39,0.455
447," Abreu, Bobby",2010,20,132,87,0.435
448," Rolen, Scott",2010,20,82,50,0.497
449," Martinez, Victor",2010,20,52,40,0.493
450," Overbay, Lyle",2010,20,131,67,0.433
451," Lind, Adam",2015,20,100,66,0.46
452," Reddick, Josh",2015,20,65,49,0.449
453," Pollock, AJ",2015,20,89,53,0.498
454," Matthews, Gary",1980,19,93,42,0.419
455," Oliver, Al",1980,19,47,39,0.48
456," Samuel, Juan",1985,19,141,33,0.436
457," Brenly, Bob",1985,19,62,57,0.391
458," Clark, Will",1990,19,97,62,0.448
459," Presley, Jim",1990,19,130,29,0.414
460," Sierra, Ruben",1995,19,76,46,0.449
461," Boone, Bret",2000,19,97,50,0.421
462," Snow, J.T.",2000,19,129,66,0.459
463," Segui, David",2000,19,84,53,0.51
464," Jones, Jacque",2000,19,111,26,0.463
465," Cameron, Mike",2000,19,133,78,0.438
466," Anderson, Brady",2000,19,103,92,0.421
467," Alomar, Roberto",2000,19,82,64,0.475
468," Jeter, Derek",2005,19,117,77,0.45
469," Overbay, Lyle",2005,19,98,78,0.449
470," Broussard, Ben",2005,19,98,32,0.464
471," Posada, Jorge",2005,19,94,66,0.43
472," Holliday, Matt",2005,19,79,36,0.505
473," Beltre, Adrian",2005,19,108,38,0.413
474," Guillen, Jose",2010,19,113,32,0.416
475," Lee, Derrek",2010,19,134,73,0.428
476," Crawford, Carl",2010,19,104,46,0.495
477," Jones, Adam",2010,19,119,23,0.442
478," Sanchez, Gaby",2010,19,101,57,0.448
479," Davis, Ike",2010,19,138,72,0.44
480," Beltran, Carlos",2015,19,85,45,0.471
481," Desmond, Ian",2015,19,187,45,0.384
482," Posey, Buster",2015,19,52,56,0.47
483," Moss, Brandon",2015,19,148,49,0.407
484," Santana, Carlos",2015,19,122,108,0.395
485," Marte, Starling",2015,19,123,27,0.444
486," Abreu, Jose",2020,19,59,18,0.617
487," Chambliss, Chris",1980,18,73,49,0.44
488," Evans, Dwight",1980,18,98,64,0.484
489," Fisk, Carlton",1980,18,62,36,0.467
490," Gedman, Rich",1985,18,79,50,0.484
491," Moseby, Lloyd",1985,18,91,76,0.426
492," Lemon, Chet",1985,18,93,45,0.439
493," Davis, Alvin",1985,18,71,90,0.441
494," Whitaker, Lou",1990,18,71,74,0.407
495," Fisk, Carlton",1990,18,73,61,0.451
496," King, Jeff",1995,18,63,55,0.456
497," Sprague, Ed",1995,18,96,58,0.407
498," Williams, Bernie",1995,18,98,75,0.487
499," Stanley, Mike",1995,18,106,57,0.481
500," Long, Terrence",2000,18,77,43,0.452
501," Young, Dmitri",2000,18,80,36,0.491
502," O'Neill, Paul",2000,18,90,51,0.424
503," Bell, Jay",2000,18,88,70,0.437
504," Bell, Derek",2000,18,125,65,0.425
505," Hillenbrand, Shea",2005,18,79,26,0.449
506," Roberts, Brian",2005,18,83,67,0.515
507," Klesko, Ryan",2005,18,80,75,0.418
508," Phillips, Brandon",2010,18,83,46,0.43
509," Victorino, Shane",2010,18,79,53,0.429
510," Upton, B.J.",2010,18,164,67,0.424
511," Gomes, Jonny",2010,18,123,39,0.431
512," Ramirez, Alexei",2010,18,82,27,0.431
513," Heyward, Jason",2010,18,128,91,0.456
514," Beltre, Adrian",2015,18,65,41,0.453
515," Cabrera, Miguel",2015,18,82,77,0.534
516," Belt, Brandon",2015,18,147,56,0.478
517," Vogt, Stephen",2015,18,97,56,0.443
518," Hosmer, Eric",2015,18,108,61,0.459
519," Betts, Mookie",2015,18,82,46,0.479
520," Ozuna, Marcell",2020,18,60,38,0.636
521," Parker, Dave",1980,17,69,25,0.458
522," Dawson, Andre",1980,17,69,44,0.492
523," Bell, Buddy",1980,17,39,40,0.498
524," Garvey, Steve",1985,17,67,35,0.43
525," Leonard, Jeffrey",1985,17,107,21,0.393
526," Davis, Jody",1985,17,83,48,0.4
527," Harper, Terry",1985,17,76,44,0.407
528," Hayes, Von",1990,17,81,87,0.413
529," Dunston, Shawon",1990,17,87,15,0.426
530," Yount, Robin",1990,17,89,78,0.38
531," Van Slyke, Andy",1990,17,89,66,0.465
532," Davis, Alvin",1990,17,68,85,0.429
533," Gilkey, Bernard",1995,17,70,42,0.49
534," Ripken Jr., Cal",1995,17,59,52,0.422
535," Abbott, Kurt",1995,17,110,36,0.452
536," Vaughn, Greg",1995,17,89,55,0.408
537," Payton, Jay",2000,17,60,30,0.447
538," Jordan, Brian",2000,17,80,38,0.421
539," Durham, Ray",2000,17,105,75,0.45
540," Belliard, Ronnie",2005,17,72,35,0.45
541," Randa, Joe",2005,17,81,47,0.452
542," Anderson, Garret",2005,17,84,23,0.435
543," Brown, Emil",2005,17,108,48,0.455
544," Hall, Bill",2005,17,103,39,0.495
545," Matthews, Gary",2005,17,90,47,0.436
546," Blake, Casey",2010,17,138,48,0.407
547," Ludwick, Ryan",2010,17,121,48,0.418
548," Upton, Justin",2010,17,152,64,0.442
549," Ramirez, Aramis",2015,17,68,31,0.423
550," Peralta, Jhonny",2015,17,111,50,0.411
551," Peralta, David",2015,17,107,44,0.522
552," Fowler, Dexter",2015,17,154,84,0.411
553," Tulowitzki, Troy",2015,17,114,38,0.44
554," Blackmon, Charlie",2015,17,112,46,0.45
555," Morrison, Logan",2015,17,81,47,0.383
556," Forsythe, Logan",2015,17,111,55,0.444
557," Ramirez, Jose",2020,17,43,31,0.607
558," Trout, Mike",2020,17,56,35,0.603
559," Tatis Jr., Fernando",2020,17,61,27,0.571
560," DeCinces, Douglas",1980,16,83,49,0.403
561," Hernandez, Keith",1980,16,73,86,0.494
562," Mazzilli, Lee",1980,16,92,82,0.431
563," Easler, Mike",1985,16,129,53,0.412
564," Buckner, Bill",1985,16,36,30,0.447
565," Bass, Kevin",1985,16,63,31,0.427
566," Cooper, Cecil",1985,16,77,30,0.456
567," Sierra, Ruben",1990,16,86,49,0.426
568," Brunansky, Tom",1990,16,115,66,0.419
569," Gaetti, Gary",1990,16,101,36,0.376
570," O'Neill, Paul",1990,16,103,53,0.421
571," Clark, Will",1995,16,50,68,0.48
